target,steps,waste,sample,buffer
715,10,3,4,1
716,8,3,3,2
716,8,3,4,1
717,10,3,3,2
717,10,4,5,1
718,9,3,3,2
718,9,3,4,1
719,10,3,3,2
719,10,4,5,1
720,6,2,3,1
721,10,3,3,2
721,10,4,5,1
722,9,2,3,1
723,10,3,3,2
723,10,4,5,1
724,8,2,3,1
725,10,2,3,1
726,9,2,3,1
727,10,2,3,1
728,7,2,3,1
729,10,3,3,2
729,10,4,5,1
730,9,2,3,1
731,10,3,3,2
731,10,4,5,1
732,8,2,3,1
733,10,2,3,1
734,9,2,3,1
735,10,3,3,2
735,10,3,4,1
736,5,2,3,1
737,10,2,3,1
738,9,3,3,2
738,9,3,4,1
739,10,2,3,1
740,8,2,3,1
741,10,3,3,2
741,10,3,4,1
742,9,2,3,1
743,10,2,3,1
744,7,2,3,1
745,10,2,3,1
746,9,2,3,1
747,10,2,3,1
748,8,2,3,1
749,10,2,3,1
750,9,2,3,1
751,10,2,3,1
752,6,2,3,1
753,10,3,3,2
753,10,3,4,1
754,9,2,3,1
755,10,2,3,1
756,8,2,3,1
757,10,2,3,1
758,9,2,3,1
759,10,2,3,1
760,7,2,3,1
761,10,2,3,1
762,9,2,3,1
763,10,2,3,1
764,8,2,3,1
765,10,2,3,1
766,9,2,3,1
767,10,2,3,1
768,2,1,2,1
769,10,2,3,1
770,9,2,3,1
771,10,2,3,1
772,8,2,3,1
773,10,2,3,1
774,9,2,3,1
775,10,2,3,1
776,7,2,3,1
777,10,2,3,1
778,9,2,3,1
779,10,2,3,1
780,8,2,3,1
781,10,2,3,1
782,9,2,3,1
783,10,3,4,1
783,10,4,3,3
784,6,2,3,1
785,10,2,3,1
786,9,2,3,1
787,10,2,3,1
788,8,2,3,1
789,10,2,3,1
790,9,2,3,1
791,10,2,3,1
792,7,2,3,1
793,10,2,3,1
794,9,2,3,1
795,10,3,4,1
795,10,4,3,3
796,8,2,3,1
797,10,2,3,1
798,9,3,4,1
798,9,4,3,3
799,10,2,3,1
800,5,2,3,1
801,10,3,4,1
801,10,4,3,3
802,9,2,3,1
803,10,2,3,1
804,8,2,3,1
805,10,3,4,1
805,10,5,3,4
806,9,2,3,1
807,10,3,4,1
807,10,5,3,4
808,7,2,3,1
809,10,2,3,1
810,9,2,3,1
811,10,2,3,1
812,8,2,3,1
813,10,3,4,1
813,10,5,3,4
814,9,2,3,1
815,10,3,4,1
815,10,5,3,4
816,6,2,3,1
817,10,3,4,1
817,10,5,3,4
818,9,3,4,1
818,9,4,3,3
819,10,3,4,1
819,10,5,3,4
820,8,3,4,1
820,8,4,3,3
821,10,3,4,1
821,10,4,3,3
822,9,3,4,1
822,9,4,3,3
823,10,3,4,1
823,10,4,3,3
824,7,2,3,1
825,10,3,4,1
825,10,4,3,3
826,9,3,4,1
826,9,4,3,3
827,10,3,4,1
827,10,4,3,3
828,8,3,4,1
828,8,4,3,3
829,10,3,4,1
829,10,4,3,3
830,9,3,4,1
830,9,4,3,3
831,10,3,4,1
831,10,4,3,3
832,4,2,3,1
833,10,3,4,1
833,10,4,3,3
834,9,3,4,1
834,9,4,3,3
835,10,3,4,1
